negative,Albert J Destefanis we already know you are the party of the ignorant
positive,Eva Graham. Agreed
negative,Eva Graham How many people have been murdered by Illegal immigrants VERSUS How many people have been murdered by white Americans let’s say in the last 10 years?
negative,Eva Graham I think Trump should be the one to be impeach and put cinder blocks around his feet and put him deepest part of the ocean
negative,"Renee Korabiak Ah huh...let's not foget the multiple deliberate attempts on people Fauxtus considers enemies...ie deliberate actions taken to target and plan and physically obtain lethal items them deployed in attempts to kill them with malice aforethought, not some random guy trying to grab someone else's gun."
positive,Abrams Patricia am interested
neutral,"Jean Kakuk ,trump wants to grab you by the pussy. Well,maybe not you"
negative,"Renee Korabiak ,there was? Too bad it failed!"
negative,Eva Graham bella fucking Pelosi
positive,Eva Graham Pelosi is smart impeach Trump
positive,Mike Jackson It is a big deal.
neutral,Eva Graham just STOP. Please
negative,Nothing sadder than a woman supporting an abusive man.
negative,And treason and drug and human trafficking and don't forget the RICO act
positive,Can use my tax money to help build a wall
negative,How long have you been THAT STUPID Trumptard?
neutral,https://www.facebook.com/photo.php?fbid=2132377443519082&set=p.2132377443519082&type=3&theater
positive,Eva Graham Freedom of Speech!
neutral,Diane Smith DONT COUNT ON IT!
neutral,Obummer will enjoy prison life from what I hear.
neutral,
negative,Marxist communists have no socialist agenda and sit on the left to destroy all progress including capitalism. When cities get old they destroy them from within to build elsewhere at the expense of the nation states they prosper from. Study history 100 million people died under communist leaders and the media commie owned will not report it.
positive,Albert J Destefanis  He May not even get a second term. HAHAHA!
neutral,Pewlosi is the pockets of the Mexican drug cartels
neutral,Eva Graham at least Pelosi has shown her Tax returns.
neutral,Hal Eric Mitlitsky  he’s been trying to get out of this job since he was elected.
neutral,Albert J Destefanis I prefer to think of it more as sewer than a swamp. Sewage goes out a Democrat and after going through the sewage treatment plant comes back a Republican.
positive,Jeff Covington ...so far nothing seems to convince me of that...not because im closed minded either.
negative,IDIOT! You don't have the house votes or even a legit cause to unseat her never mind impeach her.
negative,"Ah, stupid? trump is guilty of sedition; Pelosi is guilty of representing the majority of Americans in opposing the wall."
negative,Eva Graham  You are so ignorant
negative,"Hal Eric Mitlitsky you lefties keep regurgitating that mantra about gun control. So stupid, its in the constitution. Also did any of you lunatic leftwings know that Obama already did it 12 times in his Presidency? Btw, we dont give a rats @$$ what  names you whiney sore losers call us. We have names for you too.The dems have to bring in outsiders because the American citizens see they are not for the betterment of this country. Patti Cullen, try telling that to Ms. Pukelosi or the 12 times Obama did it."
neutral,Trump is a lying crook. If you believe what Trump says you're a SUCKER
neutral,Maria Nichols ....yawn.....
positive,"I also believe President Trump will dedicate his second term to draining the swamp as promised, which in my opinion is brilliant"
positive,Eva Graham hilarious. You people are thick
negative,Maria Nichols you ever get tired of being a loser?
negative,Lynn Limauro Floyd  if they committed murder firing squad
positive,He drove they let him across. The border patrol is part of the problem wall won’t work Military
positive,"it's amazing how he was deported but managed to get back to the US, managed to get a car and drive around!!!! omg how could the authority let him do that so freely??? the state should be sued for this!"
negative,"I'm so sorry. I pray you will somehow be able to survive all the heartbreaking dynamics of  this absolutely horrible loss of your precious son. The Democrats have gone mad, and this is causing us so much grief and worry. My heartbreaks for you and your family, and I pray for you all and our country."
neutral,Amen!
neutral,Lynn Limauro Floyd what does the wall have to do with it?
negative,Lynn Limauro Floyd A white guy drove drunk and killed my uncle. We need to deport white people too!
negative,"Lynn Limauro Floyd How sad!!!! Yes,  BUILD THE WALL!  YOUR SON'S DEATH SHOULD NOT BE IN VAIN!  WRITE PELOSI AND SHUMER! WRITE MANY LETTERS! GO TO THE PRESS!!!! NOT CNN THOUGH....THEY WILL TWIST THE FACTS AND WILL EVEN BLAME YOUR SON ...OR EVEN YOU!!! OUT WITH THE DEMONCRATS! OUT!!!!!! THE ARE TREASONOUS!"
negative,"Lynn Limauro Floyd sorry for your loss, but there are white kids shooting up your schools and killing a lot of innocent children the whites have been killing and raping since you set foot on American soil. No one did anything to you.  Building a wall will not protect you from danger.  Zimmerman killed a young boy and got away with murder.  Who feels sorry for his parents. They received no justice. The Native Americans were massacred and given smallpox and had their land taken away.  What about them.  As soon as you white people loose someone to any race but your own you want to act uo, save it.  You are no better than anybody else."
positive,Well the Manafort judge certainly doesn’t see any witch hunt here!   She says Konstantin Kilimnik is significant to the Mueller investigation because he was a link between the Russian government and the Trump campaign.
negative,Lynn Limauro Floyd How many people have been murdered by Illegal immigrants VERSUS How many people have been murdered by white Americans let’s say in the last 10 years?
negative,Lynn Limauro Floyd   Your son was a moron
neutral,Lynn Limauro Floyd  firing squad is better
negative,"Henk Adelbert Lapomarda Griffin 16) Defense  ~Executive order keeping the detention facilities at U.S. Naval Station Guantanamo Bay open.  ~$700 billion in military funding for FY 2018 and $716 billion for FY 2019. Largest military pay raise in nearly a decade.  ~Ordered a Nuclear Posture Review to ensure America’s nuclear forces are up to date and serve as a credible deterrent.  ~Released America’s first fully articulated cyber strategy in 15 years.  ~New strategy on national biodefense, which better prepares the nation to defend against biological threats.  ~Administration has announced that it will use whatever means necessary to protect American citizens and servicemen from unjust prosecution by the International Criminal Court.  ~Released an America first National Security Strategy.  ~Put in motion the launch of a Space Force as a new branch of the military and relaunched the National Space Council.  ~Encouraged North Atlantic Treaty Organization (NATO) allies to increase defense spending to their agree-upon levels. In 2017 alone, there was an increase of more than 4.8 percent in defense spending amongst NATO allies.  ~Every member state has increased defense spending.  ~Eight NATO allies will reach the 2 percent benchmark by the end of 2018 and 15 allies are on trade to do so by 2024. NATO allies spent over $42 billion dollars more on defense since 2016.  ~Executive order to help military spouses find employment as their families deploy domestically and abroad."
positive,"Henk Adelbert Lapomarda Griffin 17) Veterans affairs~  ~Signed the VA Accountability Act and expanded VA telehealth services, walk-in-clinics, and same-day urgent primary and mental health care.  ~Delivered more appeals decisions – 81,000 – to veterans in a single year than ever before.  ~Strengthened protections for individuals who come forward and identify programs occurring within the VA.  ~Signed legislation that provided $86.5 billion in funding for the Department of Veterans Affairs (VA), the largest dollar amount in history for the VA.  ~VA MISSION Act, enacting sweeping reform to the VA system that: ☆Consolidated and strengthened VA community care programs. ☆Funding for the Veterans Choice program. ☆Expanded eligibility for the Family Caregivers Program. ☆Gave veterans more access to walk-in care. ☆Strengthened the VA’s ability to recruit and retain quality healthcare professionals. ☆Enabled the VA to modernize its assets and infrastructure.  ~Signed the VA Choice and Quality Employment Act in 2017, which authorized $2.1 billion in addition funds for the Veterans Choice Program.  ~Worked to shift veterans’ electronic medical records to the same system used by the Department of Defense, a decades old priority.  ~Issued an executive order requiring the Secretaries of Defense, Homeland Security, and Veterans Affairs to submit a joint plan to provide veterans access to access to mental health treatment as they transition to civilian life. ~Increased transparency and accountability at the VA by launching an online “Access and Quality Tool,” providing veterans with access to wait time and quality of care data.  ~Signed legislation to modernize the claims and appeal process at the VA. Harry W. Colmery Veterans Educational Assistance Act, providing enhanced educational benefits to veterans, service members, and their family members.  ~Lifted a 15-year limit on veterans’ access to their educational benefits.  ~Created a White House VA Hotline to help veterans and principally staffed it with veterans and direct family members of veterans.  ~VA employees are being held accountable for poor performance, with more than 4,000 VA employees removed, demoted, and suspended so far.  ~Signed the Veterans Treatment Court Improvement Act, increasing the number of VA employees that can assist justice-involved veterans."
negative,"Henk Adelbert Lapomarda Griffin this does not even take into account the NAFTA deal he negotiated..The part media fails to inform you of is what the NAFTA deal means and how Mexico IS going to pay.... I'll explane...  ~It forces USA metal to be used *(HUGE for American jobs and American steel sales generating billions) and it will keep automobile manufactures in the USA (worth billions).  ~Americans bought $71 billion more imports YEARLY from Mexico than vice versa. That's about to change in Americans favor.   ~At least 30% of the cars must be made by workers earning at least $16 an hour to keep American car manufactures in the USA (That increases to 40% in 2023:) Autos that don't meet these requirements will be subject to hefty tariffs.   ~Canada must open up its dairy market to U.S. farmers. It will eliminate its complex pricing scheme for Class 7 products. That includes milk protein concentrate, skim milk powder, and infant formula etc.   ~It opens the wine market in British Columbia to American wine. (Billions to America).  ~Mexican trucks must meet U.S. safety standards before crossing the border.   ~Provides more protection for patents and trademarks. Saving tons to American's who have been ripped off of their ideas & costs Americans billions and also helps reduce black market.   ~U.S. drug companies can sell products in Canada for 10 years before facing generic competition. Extending it by 2 years. (Billions generated)  ~Companies can no longer use Chapter 11 to resolve disputes with governments, they will now have to pay up instead. The only exceptions are U.S. oil companies.   ~We no longer fund Mexican abortion clinics. Exports drastically reduced, for one example sugar from Mexico cut nearly in half, creating more jobs and revenue, tourism industry hit hard, federal employees banned from traveling to certain main areas.  *Of course, Trump didn't really expect Mexico to just write the US a check as some ignorantly say as ""fact"" :)"
positive,So cute linda
negative,Linda Durbin really hard for Americans huh? Cuz i still see ooor and homeless sleeping on our street while its winter .
negative,"Linda Durbin if you’re a multimillionaire, he’s working for you. Check your bank account, you may have been duped."
negative,"James Chapman Henk Adelbert Lapomarda Griffin fake crisis is your opinion you got from media opinion. Truth is the voters, the president & Federal border agents disagree. What one would you choose, media bias or the source of people who are on the boarder, the president who has access to info no one else does, the voters who put someone in office to do a job that has gone unchecked for years? Why are the Trump Zealots alway making False Claims and False Accusations??? Sorry unlike the Trump Cult I think for myself though my observations are often later repeated on various media. I have know President hoax for decades and he has always been a very FAKE MAN and Pathological Liar that has no credibility. His whole life is built around lies. He is nothing more than a very successful snake oil and elixir salesman. I lived on the border when many more people were crossing the border at the busiest part of the border and there was no crisis or emergency.It is not true that moist people that live or work on the border want a Useless Wall that can be easily circumvented. What most people want including people that live and work there is smart border security. That is what we need. Trump has created a completely fictitious emergency so that he and his cult can get what they want which is completely wasting billions of dollars in taxpayers money. But you ain't gonna get it as We The People, and that is the great majority of American's, oppose the Wall. Trump and his Cult will not get their BOONDOGGLE WALL!!! Get over your obsession and move on!!!!"
negative,"James Chapman Yes I am already quite familiar with all of the Lies, Propaganda, and Fake News disseminated by the Central Fake News Agency operated out of the Oval Office and Trump Tower!!!"
negative,Lynn Limauro Floyd So sad! God bless you! Illegal's need to be vetted! Build that WALL!
negative,"Henk Adelbert Lapomarda Griffin 6) Deregulation ~ *( tax cuts and deregulation is why the economy is doing so well)   ~Achieved massive deregulation at a rapid pace, completing 22 deregulatory actions to every one regulatory action during his first year in office.  ~Signed legislation to roll back costly and harmful provisions of Dodd-Frank, providing relief to credit unions, and community and regional banks.  ~Federal agencies achieved more than $8 billion in lifetime net regulatory cost savings. Rolled back Obama’s burdensome Waters of the U.S. rule.  ~Used the Congressional Review Act to repeal regulations more times than in history."
positive,"Henk Adelbert Lapomarda Griffin 7) Tax Cuts  ~Biggest tax cuts and reforms in American history by signing the Tax Cuts and Jobs act into law  ~Provided more than $5.5 trillion in gross tax cuts, nearly 60 percent of which will go to families.  ~Increased the exemption for the death tax to help save Family Farms & Small Business. Nearly doubled the standard deduction for individuals and families.  ~Enabled vast majority of American families will be able to file their taxes on a single page by claiming the standard deduction.  ~Doubled the child tax credit to help lessen the financial burden of raising a family.  ~Lowered America’s corporate tax rate from the highest in the developed world to allow American businesses to compete and win.  ~Small businesses can now deduct 20 percent of their business income.  ~Cut dozens of special interest tax breaks and closed loopholes for the wealthy. 9 in 10 American workers are expected see an increase in their paychecks thanks to the tax cuts, according to the Treasury Department.  ~More than 6 million of American workers have received wage increases, bonuses, and increased benefits thanks to tax cuts.  ~Over 100 utility companies have lowered electric, gas, or water rates thanks to the Tax Cuts and Jobs Act.  ~Ernst & Young found 89 percent of companies planned to increase worker compensation thanks to the Trump tax cuts. Established opportunity zones to spur investment in left behind communities."
positive,"Henk Adelbert Lapomarda Griffin 8.) Worker Development  ~ Established a National Council for the American Worker to develop a national strategy for training and retraining America’s workers for high-demand industries.  ~Employers have signed Trump’s “Pledge to America’s Workers,” committing to train or retrain more than 4.2 million workers and students.  ~Signed the first Perkins CTE reauthorization since 2006, authorizing more than $1 billion for states each year to fund vocational and career education programs.  ~Executive order expanding apprenticeship opportunities for students and workers."
positive,"Henk Adelbert Lapomarda Griffin 9) Health Care  ~Signed an executive order to help minimize the financial burden felt by American households Signed legislation to improve the National Suicide Hotline.  ~Signed the most comprehensive childhood cancer legislation ever into law, which will advance childhood cancer research and improve treatments.  ~Signed Right-to-Try legislation, expanding health care options for terminally ill patients.  ~Enacted changes to the Medicare 340B program, saving seniors an estimated $320 million on drugs in 2018 alone.  ~FDA set a new record for generic drug approvals in 2017, saving consumers nearly $9 billion.  ~Released a blueprint to drive down drug prices for American patients, leading multiple major drug companies to announce they will freeze or reverse price increases.  ~Expanded short-term, limited-duration health plans.  ~Let more employers to form Association Health Plans, enabling more small businesses to join together and affordably provide health insurance to their employees.  ~Cut Obamacare’s burdensome individual mandate penalty.  ~Signed legislation repealing Obamacare’s Independent Payment Advisory Board, also known as the “death panels.”  ~USDA invested more than $1 billion in rural health care in 2017, improving access to health care for 2.5 million people in rural communities across 41 states Proposed Title X rule to help ensure taxpayers do not fund the abortion industry in violation of the law.  ~Reinstated and expanded the Mexico City Policy to keep foreign aid from supporting the global abortion industry.  ~HHS formed a new division over protecting the rights of conscience and religious freedom.  ~Overturned Obama administration’s midnight regulation prohibiting states from defunding certain abortion facilities.  ~Signed executive order to help ensure that religious organizations are not forced to choose between violating their religious beliefs by complying with Obamacare’s contraceptive mandate or shutting their doors."
negative,"Henk Adelbert Lapomarda Griffin 10) Combating Opioids  ~Chaired meeting the 73rd General Session of the United Nations discussing the worldwide drug problem with international leaders.  ~Initiative to Stop Opioid Abuse and Reduce Drug Supply and Demand, introducing new measures to keep dangerous drugs out of our communities.  ~$6 billion in new funding to fight the opioid epidemic.  ~DEA conducted a surge in April 2018 that arrested 28 medical professions and revoked 147 registrations for prescribing too many opioids.  ~Brought the “Prescribed to Death” memorial to President’s Park near the White House, helping raise awareness about the human toll of the opioid crisis.  ~Helped reduce high-dose opioid prescriptions by 16 percent in 2017.  ~Opioid Summit on the administration-wide efforts to combat the opioid crisis.  ~Launched a national public awareness campaign about the dangers of opioid addiction.  ~Created a Commission on Combating Drug Addiction and the Opioid Crisis which recommended a number of pathways to tackle the opioid crisis.  ~Led two National Prescription Drug Take Back Days in 2017 and 2018, collecting a record number of expired and unneeded prescription drugs each time.  ~$485 million targeted grants in FY 2017 to help areas hit hardest by the opioid crisis.  ~Signed INTERDICT Act, strengthening efforts to detect and intercept synthetic opioids before they reach our communities.  ~DOJ secured its first-ever indictments against Chinese fentanyl manufacturers. Joint Criminal Opioid Darknet Enforcement (J-CODE) team, aimed at disrupting online illicit opioid sales.  ~Declared the opioid crisis a Nationwide Public Health Emergency in October 2017."
negative,"Henk Adelbert Lapomarda GriffinHenk 12) Border Security and Immigration  ~Secured $1.6 billion for border wall construction in the March 2018 omnibus bill.  ~Construction of a 14-mile section of border wall began near San Diego.  ~Worked to protect American communities from the threat posed by the vile MS-13 gang.  ~ICE’s Homeland Security Investigations division arrested 796 MS-13 members and associates in FY 2017, an 83 percent increase from the prior year.  ~Justice worked with partners in Central America to secure criminal charges against more than 4,000 MS-13 members.  ~Border Patrol agents arrested 228 illegal aliens affiliated with MS-13 in FY 2017.  ~Fighting to stop the scourge of illegal drugs at our border.  ~ICE HSI seized more than 980,000 pounds of narcotics in FY 2017, including 2,370 pounds of fentanyl and 6,967 pounds of heroin.  ~ICE HSI dedicated nearly 630,000 investigative hours towards halting the illegal import of fentanyl.  ~ICE HSI made 11,691 narcotics-related arrests in FY 2017.  ~Stop Opioid Abuse and Reduce Drug Supply and Demand introduced new measures to keep dangerous drugs out the United States.  ~Signed the INTERDICT Act into law, enhancing efforts to detect and intercept synthetic opioids.  ~DOJ secured its first-ever indictments against Chinese fentanyl manufacturers.  ~DOJ launched their Joint Criminal Opioid Darknet Enforcement (J-CODE) team, aimed at disrupting online illicit opioid sales.  ~Released an immigration framework that includes the resources required to secure our borders and close legal loopholes, and repeatedly called on Congress to fix our broken immigration laws.  ~Authorized the deployment of the National Guard to help secure the border.  ~Enhanced vetting of individuals entering the U.S. from countries that don’t meet security standards, helping to ensure individuals who pose a threat to our country are identified before they enter.These procedures were upheld in a June 2018 Supreme Court hearing.  ~ICE removed over 226,000 illegal aliens from the United States in 2017.  ~ICE rescued or identified over 500 human trafficking victims and over 900 child exploitation victims in 2017 alone.  ~In 2017, ICE Enforcement and Removal Operations (ERO) arrested more than 127,000 aliens with criminal convictions or charges, responsible for Over 76,000 with dangerous drug offenses. More than 48,000 with assault offenses. More than 11,000 with weapons offenses. More than 5,000 with sexual assault offenses. More than 2,000 with kidnapping offenses. Over 1,800 with homicide offenses.  ~Created the Victims of Immigration Crime Engagement (VOICE) Office in order to support the victims and families affected by illegal alien crime.  ~More than doubled the number of counties participating in the 287(g) program, which allows jails to detain criminal aliens until they are transferred to ICE custody."
positive,"Henk Adelbert Lapomarda Griffin 13) Trade  ~Negotiating and renegotiating better trade deals, achieving free, fair, and reciprocal trade for the United States.  ~Agreed to work with the European Union towards zero tariffs, zero non-tariff barriers, and zero subsides.  ~Deal with the European Union to increase U.S. energy exports to Europe.  ~Litigated multiple WTO disputes targeting unfair trade practices and upholding our right to enact fair trade laws.  ~Finalized a revised trade agreement with South Korea, which includes provisions to increase American automobile exports.  ~Negotiated an historic U.S.-Mexico-Canada Trade Agreement to replace NAFTA.  ~Agreement to begin trade negotiations for a U.S.-Japan trade agreement.  ~Secured $250 billion in new trade and investment deals in China and $12 billion in Vietnam.  ~Established a Trade and Investment Working Group with the United Kingdom, laying the groundwork for post-Brexit trade.  ~Enacted steel and aluminum tariffs to protect our vital steel and aluminum producers and strengthen our national security.  ~Conducted 82 anti-dumping and countervailing duty investigations in 2017 alone.  ~Confronting China’s unfair trade practices after years of Washington looking the other way. 25% tariff on $50 billion of goods imported from China and later imposed an additional 10% tariff on $200 billion of Chinese goods.  ~Conducted an investigation into Chinese forced technology transfers, unfair licensing practices, and intellectual property theft. Imposed safeguard tariffs to protect domestic washing machines and solar products manufacturers hurt by China’s trade policies  ~Withdrew from the job-killing Trans-Pacific Partnership (TPP).  ~Secured access to new markets for America’s farmers.  ~Recent deal with Mexico included new improvements enabling food and agriculture to trade more fairly.  ~Recent agreement with the E.U. will reduce barriers and increase trade of American soybeans to Europe.  ~Won a WTO dispute regarding Indonesia’s unfair restriction of U.S. agricultural exports. Defended American Tuna fisherman and packagers before the WTO  ~Opened up Argentina to American pork experts for the first time in a quarter-century American beef exports have returned to china for the first time in more than a decade.  ~OK’d up to $12 billion in aid for farmers affected by unfair trade retaliation."
